#,单词,音标,解释,笔记
686,give,英:/gɪv/ 美:/ɡɪv/,vt. 给；授予；让步；产生；举办 n. 弹性；伸展性；弯曲,
687,glad,英:/glæd/ 美:/ɡlæd/,adj. 高兴的；乐意的；令人高兴的；灿烂美丽的 vt. [古]使高兴,
688,glass,英:/glɑːs/ 美:/ɡlæs/,n. 玻璃；镜子；玻璃制品 vt. 反映；给某物加玻璃,
689,glue,英:/ɡluː/ 美:/ɡluː/,vt. 粘合；似胶般固着于 n. 胶；各种胶合物,
690,go,英:/gəʊ/ 美:/ɡo/,vi. 走；趋于；达到；运转 n. 去；尝试；进行,
691,god,英:/ɡɒd/ 美:/ɡɑːd/,n. 神；（大写首字母时）上帝,
692,gold,英:/gəʊld/ 美:/ɡold/,n. 金，黄金；金币；金色 adj. 金的，金制的；金色的,
693,golf,英:/ɡɒlf/ 美:/ɡɑːlf/,n. 高尔夫球；高尔夫球运动 vi. 打高尔夫球,
694,good,英:/gʊd/ 美:/ɡʊd/,adj. 愉快的；好的；虔诚的；优良的 n. 好处；慷慨的行为；善行,
695,goodbye,/gʊd'baɪ/,int. 再见,
696,goods,英:/ɡʊdz/ 美:/ɡʊdz/,n. 商品；动产；合意的人；真本领,
697,govern,英:/ˈɡʌvn/ 美:/ˈɡʌvərn/,vt. 统治；支配；控制；管理 vi. 居支配地位；进行统治,
698,government,英:/ˈɡʌvənmənt/ 美:/ˈɡʌvərnmənt/,"n. 政府 治理的形式; 政体 治理, 统治",
699,graceful,英:/ˈɡreɪsfl/ 美:/ˈɡreɪsfl/,adj. 优美的；优雅的,
700,gradual,英:/ˈɡrædʒuəl/ 美:/ˈɡrædʒuəl/,adj. 逐渐的；平缓的 n. 弥撒升阶圣歌集,
701,grain,英:/ɡreɪn/ 美:/ɡreɪn/,n. 粮食；颗粒；谷物；纹理 vi. 成谷粒,
702,gram,/ɡræm/,n. 克；[植]鹰嘴豆（用作饲料）,
703,grammar,英:/ˈɡræmə(r)/ 美:/ˈɡræmər/,n. 语法；语法书,
704,grandmother,英:/ˈɡrænmʌðə(r)/ 美:/ˈɡrænmʌðər/,n. (外)祖母,
705,grandparent,英:/ˈɡrænpeərənt/ 美:/ˈɡrænperənt/,n. (外)祖父(母),
706,grass,英:/grɑːs/ 美:/ɡræs/,n. 草；草地，草坪 vt. 使……长满草；使……吃草；放牧,
707,grateful,英:/ˈɡreɪtfl/ 美:/ˈɡreɪtfl/,adj. 感谢的；令人愉快的，宜人的,
708,great,英:/greɪt/ 美:/ɡret/,adj. 伟大的，重大的；极好的，好的；主要的 n. 大人物；大师；伟人们,
709,green,英:/ɡriːn/ 美:/ɡriːn/,adj. 绿色的；青春的 n. 绿色；青春,
710,greet,英:/ɡriːt/ 美:/ɡriːt/,vt. 欢迎，迎接；致敬，致意；映入眼帘,
711,greeting,英:/ˈɡriːtɪŋ/ 美:/ˈɡriːtɪŋ/,n. 问候，招呼；祝贺 v. 致敬，欢迎（greet的现在分词）,
712,grey,英:/greɪ/ 美:/ɡre/,adj. 灰色的；灰白的 vt. 使变成灰色；使变老,
713,ground,英:/graʊnd/ 美:/ɡraʊnd/,n. 地面；土地；范围；战场 vt. 打基础；使搁浅；使接触地面,
714,group,英:/gruːp/ 美:/ɡrup/,n. 组；团体 adj. 群的；团体的,
715,grow,英:/ɡrəʊ/ 美:/ɡroʊ/,vi. 生长；发展；渐渐变得… vt. 种植；使生长；扩展,
716,growth,英:/ɡrəʊθ/ 美:/ɡroʊθ/,n. 生长；增长；发展；种植,
717,guard,英:/ɡɑːd/ 美:/ɡɑːrd/,n. 警戒；守卫；护卫队；防护装置 vi. 警惕,
718,guess,英:/ges/ 美:/ɡɛs/,vt. 猜测；推测；猜中；[美口]认为 vi. 推测；猜；猜中,
719,guest,英:/ɡest/ 美:/ɡɛst/,n. 客人，宾客；顾客 vt. 款待，招待,
720,guide,英:/gaɪd/ 美:/ɡaɪd/,n. 指南；向导；入门书 vt. 带领；引导；操纵,
721,guilty,英:/ˈɡɪlti/ 美:/ˈɡɪlti/,adj. 有罪的；内疚的,
722,gun,英:/ɡʌn/ 美:/ɡʌn/,n. 枪；炮；节流阀 vt. 枪击；打开节流阀 vi. 用枪打猎,
723,habit,英:/'hæbɪt/ 美:/'hæbɪt/,n. 习惯，习性；嗜好 vt. 使穿衣,
724,hair,英:/heə/ 美:/hɛr/,n. 头发；毛发；些微 vt. 除去…的毛发,
725,hall,英:/hɔːl/ 美:/hɔl/,n. 门厅，走廊；会堂；食堂；学生宿舍,
726,hammer,英:/ˈhæmə(r)/ 美:/ˈhæmər/,vi. 敲打；锤击；重复 n. 铁锤；锤骨；音锤；链球,
727,hand,英:/hænd/ 美:/hænd/,n. 手，手艺；指针；插手；帮助 vt. 搀扶；传递，交给；支持,
728,handle,英:/ˈhændl/ 美:/ˈhændl/,n. 柄；把手；手感；口实 vt. 买卖；处理；操作；触摸；运用,
729,hang,英:/hæŋ/ 美:/hæŋ/,v. 悬挂；(使)低垂；悬浮(在空中)；逗留；绞死 n. 悬挂方式；悬挂；绞刑,
730,happen,英:/ˈhæpən/ 美:/ˈhæpən/,vi. 发生；碰巧；偶然遇到,
731,happy,英:/ˈhæpi/ 美:/ˈhæpi/,adj. 高兴的；幸福的；巧妙的,
732,hard,英:/hɑːd/ 美:/hɑːrd/,adj. 困难的；硬的；猛烈的；确实的；努力的；辛苦的；冷酷无情的；严厉的 adv. 努力地；猛烈地；辛苦地；牢固地；接近地；困难地,
733,hardly,英:/'hɑːdlɪ/ 美:/'hɑrdli/,adv. 几乎不，简直不；刚刚,
734,harm,英:/hɑːm/ 美:/hɑːrm/,n. 伤害；损害 vt. 损害；伤害；危害,
735,harmful,英:/ˈhɑːmfl/ 美:/ˈhɑːrmfl/,adj. 能造成损害的；有害的,
736,hat,英:/hæt/ 美:/hæt/,n. 帽子 vt. 给……戴上帽子,
737,hate,英:/heɪt/ 美:/heɪt/,vt. 憎恨；厌恶；遗憾 vi. 仇恨,
738,hatred,英:/ˈheɪtrɪd/ 美:/ˈheɪtrɪd/,n. 憎恨；怨恨；敌意,
739,have,英:/hæv/ 美:/hæv/,vt. 有；让；从事；允许；拿 aux. 已经,
740,he,英:/hiː/ 美:/hi/,pron. 他；任何人 n. 男人；雄性动物,
741,head,英:/hed/ 美:/hed/,n. 头；上端；最前的部分；头痛；理解力 vt. 用头顶；作为…的首领；前进；站在…的前头；给…加标题,
742,health,英:/helθ/ 美:/hɛlθ/,n. 健康；兴旺；卫生；保健,
743,healthy,英:/'helθɪ/ 美:/'hɛlθi/,adj. 健康的，健全的；有益于健康的,
744,hear,英:/hɪə/ 美:/hɪr/,"vt. & vi. 听到, 听见 vt. 听说, 得知 听取; 审理",
745,heart,英:/hɑːt/ 美:/hɑrt/,n. 心脏；要点；感情；勇气；心形 vt. 鼓励；铭记,
746,heat,英:/hiːt/ 美:/hiːt/,n. 热度；高温；压力；热烈 vt. 把…加热；使激动,
747,heaven,英:/ˈhevn/ 美:/ˈhevn/,n. 天堂；天空；极乐,
748,heavy,英:/'hevɪ/ 美:/'hɛvi/,adj. 沉重的；繁重的，巨大的；阴沉的 n. 重物；严肃角色,
749,heel,英:/hiːl/ 美:/hiːl/,n. 脚后跟；踵 vt. 倾侧,
750,height,英:/haɪt/ 美:/haɪt/,n. 高度；高地；身高；顶点,
751,hello,英:/hə'ləʊ/ 美:/hə'lo/,int. 喂；哈罗 n. 表示问候， 惊奇或唤起注意时的用语,
752,help,英:/help/ 美:/hɛlp/,vt. 帮助；治疗；促进；补救 n. 帮助；帮忙者；补救办法；有益的东西,
753,helpful,英:/'helpfʊl/ 美:/'hɛlpfl/,adj. 有益的；有帮助的,
754,her,英:/hɜː(r)/ 美:/hɚ/,pron. 她的；她,
755,herb,英:/hɜːb/ 美:/ɜːrb/,n. 香草，药草,
756,here,英:/hɪə/ 美:/hɪr/,adv. 在这里；此时 int. 嘿！；喂！,
757,hers,英:/hɜːz/ 美:/hɝz/,pron. 她的（所有格）,
758,herself,英:/hɜː'self/ 美:/hɝ'sɛlf/,pron. 她自己（she的反身代词）；她亲自,
759,hide,英:/haɪd/ 美:/haɪd/,vt. 隐藏；隐瞒；鞭打 vi. 隐藏,
760,high,英:/haɪ/ 美:/haɪ/,adj. 高的；高级的；高音调的；崇高的 n. 高水平；天空；由麻醉品引起的快感；高压地带,
761,hill,英:/hɪl/ 美:/hɪl/,n. 小山；丘陵；斜坡；山冈,
762,him,英:/hɪm/ 美:/hɪm/,pron. 他（宾格）,
763,himself,英:/hɪm'self/ 美:/hɪm'sɛlf/,pron. 他自己；他亲自，他本人,
764,his,英:/hɪz/ 美:/hɪz/,pron. 他的,
765,historical,英:/hɪˈstɒrɪkl/ 美:/hɪˈstɔːrɪkl/,adj. 历史(学)的,
766,history,英:/'hɪst(ə)rɪ/ 美:/'hɪstri/,n. 历史，历史学；历史记录；来历,
767,hit,英:/hɪt/ 美:/hɪt/,vt. 袭击；碰撞；打击；偶然发现；伤…的感情 vi. 打击；打；碰撞；偶然碰上,
768,hold,英:/həʊld/ 美:/hoʊld/,vt. 持有；保存；拥有；拘留；约束或控制 vi. 持续；支持；有效,
769,hole,英:/həʊl/ 美:/hol/,n. 洞，孔；洞穴，穴；突破口 vi. 凿洞，穿孔；（高尔夫球等）进洞,
770,holiday,英:/ˈhɒlədeɪ/ 美:/ˈhɑːlədeɪ/,n. 假日；假期；节日（尤指宗教节日或国家庆典日）；节日假期 v. 度假；休假,
771,hollow,英:/ˈhɒləʊ/ 美:/ˈhɑːloʊ/,adj. 空的；空洞的；凹陷的；虚伪的；(声音)沉闷的 n. 山谷；洞；窟窿 vt. 挖空 vi. 形成空洞 adv. 完全地；彻底,
772,holy,英:/ˈhəʊli/ 美:/ˈhoʊli/,adj. 圣洁的，神圣的；至善的 n. 神圣的东西,
773,home,英:/həʊm/ 美:/hom/,n. 家，住宅；家乡；产地；避难所 adv. 在家，回家；深入地,
774,honest,英:/'ɒnɪst/ 美:/'ɑnɪst/,adj. 诚实的，实在的；可靠的；坦率的,
775,honor,英:/ˈɒnə(r)/ 美:/ˈɑːnər/,n. 信用；荣誉；头衔 vt. 给…以荣誉；尊敬（等于honour）,
776,hook,英:/hʊk/ 美:/hʊk/,n. 挂钩，吊钩 vt. 钩住；引上钩,
777,hope,英:/həʊp/ 美:/hop/,n. 希望；信心；期望 vt. 希望；期望,
778,hopeful,英:/ˈhəʊpfl/ 美:/ˈhoʊpfl/,adj. 有希望的；有前途的 n. 有希望成功的人,
779,horizontal,英:/ˌhɒrɪˈzɒntl/ 美:/ˌhɔːrɪˈzɑːntl/,"adj. 水平的, 与地平线平行的",
780,horn,英:/hɔːn/ 美:/hɔːrn/,n. 角；喇叭，号角 vt. 装角于,
781,horse,英:/hɔːs/ 美:/hɔrs/,n. 马；骑兵；脚架；[俚]海洛因 vt. 使骑马；系马于；[口]捉弄,
782,hospital,英:/'hɒspɪt(ə)l/ 美:/'hɑspɪtl/,n. 医院,
783,hot,英:/hɒt/ 美:/hɑt/,adj. 热的；辣的；热情的；激动的；紧迫的 adv. 热；紧迫地,
784,hotel,英:/həʊ'tel/ 美:/ho'tɛl/,n. 旅馆，饭店；客栈 vt. 使…在饭店下榻,
785,hour,英:/'aʊə/ 美:/'aʊɚ/,n. 小时；钟头；课时；…点钟,
786,house,英:/haʊs/ 美:/haʊs/,n. 住宅；家庭；某种用途的建筑物；机构；议会 vt. 给…房子住；把…储藏在房内；覆盖,
787,how,英:/haʊ/ 美:/haʊ/,adv. 多么；多少；如何 n. 方式；方法,
788,human,英:/'hjuːmən/ 美:/'hjumən/,adj. 人的；人类的 n. 人；人类,
789,humor,英:/ˈhju:mə/ 美:/ˈhjumɚ/,n. 幽默，诙谐；心情 vt. 迎合，迁就；顺应,
790,humorous,英:/ˈhjuːmərəs/ 美:/ˈhjuːmərəs/,adj. 诙谐的，幽默的；滑稽的，可笑的,
791,hundred,英:/'hʌndrəd/ 美:/'hʌndrəd/,n. 一百；许多 adj. 一百的；许多的,
792,hungry,英:/'hʌŋgrɪ/ 美:/'hʌŋɡri/,adj. 饥饿的；渴望的；荒年的；不毛的,
793,hunt,英:/hʌnt/ 美:/hʌnt/,v. 打猎；搜索；追捕 n. 搜寻；打猎,
794,hurry,英:/'hʌrɪ/ 美:/ˈhɜːri/,n. 匆忙，急忙 vt. 使赶紧；使匆忙，使急忙,
795,hurt,英:/hɜːt/ 美:/hɜːrt/,vt. 使受伤；使疼痛；使痛心；[口]损害 vi. 感到疼痛；带来痛苦；[口]有坏处,
796,husband,英:/ˈhʌzbənd/ 美:/ˈhʌzbənd/,n. 丈夫,
797,ice,英:/aɪs/ 美:/aɪs/,n. 冰；冰淇淋；矜持；（俚）钻石 vt. 冰镇；结冰,
798,if,英:/ɪf/ 美:/ɪf/,conj. （表条件）如果；（表假设）假如；是否；即使 n. 条件；设想,
799,ignore,英:/ɪɡˈnɔː(r)/ 美:/ɪɡˈnɔːr/,vt. 驳回诉讼，忽视，不理睬,
800,ill,英:/ɪl/ 美:/ɪl/,adj. 坏的；生病的；邪恶的；不吉利的 adv. 几乎不；不利地；恶劣地,
801,illegal,英:/ɪˈliːɡl/ 美:/ɪˈliːɡl/,adj. 非法的；违法的；违反规则的 n. 非法移民；间谍,
802,illness,英:/ɪlnɪs/ 美:/'ɪlnəs/,n. 疾病；病,
803,image,英:/ˈɪmɪdʒ/ 美:/ˈɪmɪdʒ/,n. 影像；肖像；想象；偶像 vt. 反映；象征；想象；作…的像,
804,imaginary,英:/ɪˈmædʒɪnəri/ 美:/ɪˈmædʒɪneri/,"adj. 想像中的, 假想的, 虚构的",
805,imagination,英:/ɪˌmædʒɪˈneɪʃn/ 美:/ɪˌmædʒɪˈneɪʃn/,"n. 想像力 空想, 想像 想像出来的东西, 幻想物",
806,imagine,英:/ɪˈmædʒɪn/ 美:/ɪˈmædʒɪn/,vt. 想像；猜想；臆断 vi. 想像；猜想；想像起来,
807,immediately,英:/ɪˈmiːdiətli/ 美:/ɪˈmiːdiətli/,"adv. 立即, 马上 直接地",
808,importance,英:/ɪmˈpɔːtns/ 美:/ɪmˈpɔːrtns/,n. 重要(性),
809,important,英:/ɪm'pɔːt(ə)nt/ 美:/ɪm'pɔrtnt/,"adj. 重要的, 重大的 有势力的, 有地位的",
810,improve,英:/ɪmˈpruːv/ 美:/ɪmˈpruːv/,vt. 改善，增进；提高…的价值 vi. 增加；变得更好,
811,improvement,英:/ɪmˈpruːvmənt/ 美:/ɪmˈpruːvmənt/,"n. 增加或修改 改进, 改善, 改良",
812,in,英:/ɪn/ 美:/ɪn/,prep. 在…之内；从事于；按照（表示方式） adv. 进入；在屋里；（服装等）时髦；当选,
813,include,英:/ɪn'kluːd/ 美:/ɪn'klud/,vt. 包含，包括,
814,including,英:/ɪnˈkluːdɪŋ/ 美:/ɪnˈkluːdɪŋ/,prep. 包括; 包含,
815,income,英:/ˈɪnkʌm/ 美:/ˈɪnkʌm/,n. 收入，收益；所得,
816,increase,英:/ɪnˈkriːs/ 美:/ɪnˈkriːs/,n. 增加，增长；提高 vi. 繁殖；增加，增大,
817,independent,英:/ˌɪndɪˈpendənt/ 美:/ˌɪndɪˈpendənt/,adj. 独立的；自主的；独自的；无偏见的 n. 无党派者；独立派人士,
818,indoor,英:/ˈɪndɔː(r)/ 美:/ˈɪndɔːr/,adj. 室内的，户内的,
819,industrial,英:/ɪnˈdʌstriəl/ 美:/ɪnˈdʌstriəl/,"adj. 工业的, 产业的 用于工业的",
820,industry,英:/ˈɪndəstri/ 美:/ˈɪndəstri/,n. 工业；产业；勤勉,
821,infect,英:/ɪnˈfekt/ 美:/ɪnˈfekt/,vt. 感染，传染,
822,infection,英:/ɪnˈfekʃn/ 美:/ɪnˈfekʃn/,n. 传染；传染病；影响,
823,infectious,英:/ɪnˈfekʃəs/ 美:/ɪnˈfekʃəs/,adj. 传染的；有感染力的,
824,influence,英:/ˈɪnfluəns/ 美:/ˈɪnfluəns/,v. 影响；感染；在(饮料)中加烈酒 n. 影响力；影响；权势；势力；有影响的人(或事物),
825,information,英:/ɪnfə'meɪʃ(ə)n/ 美:/'ɪnfɚ'meʃən/,"n. 消息; 资料; 情报 通知, 告知",
826,injure,英:/ˈɪndʒə(r)/ 美:/ˈɪndʒər/,vt. 伤害，损害,
827,injury,英:/ˈɪndʒəri/ 美:/ˈɪndʒəri/,n. 伤害，损害；受伤处,
828,ink,英:/ɪŋk/ 美:/ɪŋk/,vt. 涂墨水于；签署 n. 墨水，墨汁；油墨,
829,inner,英:/ˈɪnə(r)/ 美:/ˈɪnər/,adj. 内部的；内心的；精神的 n. 内部,
830,insect,英:/ˈɪnsekt/ 美:/ˈɪnsekt/,n. 昆虫；卑鄙的人,
831,inside,英:/ɪn'saɪd/ 美:/'ɪn'saɪd/,n. 内部；里面；内脏；内情 adj. 内部的；秘密的；里面的,
832,instead,英:/ɪn'sted/ 美:/ɪn'stɛd/,adv. 代替；反而,
833,instruction,英:/ɪnˈstrʌkʃn/ 美:/ɪnˈstrʌkʃn/,"n. 命令, 指示 讲授, 指导, 教学 使用说明书, 操作指南",
834,instrument,英:/ˈɪnstrəmənt/ 美:/ˈɪnstrəmənt/,n. 乐器；仪器；工具；器械；促成某事的人（或事物）；手段 v. 用器械（或仪器）装备；为管弦乐队编（曲）,
835,insult,英:/ɪnˈsʌlt/ 美:/ɪnˈsʌlt/,vt. 侮辱；辱骂；损害 n. 侮辱；凌辱；无礼,
836,insurance,英:/ɪnˈʃʊərəns/ 美:/ɪnˈʃʊrəns/,n. 保险；保险费；安全保障,
837,insure,英:/ɪnˈʃʊə(r)/ 美:/ɪnˈʃʊr/,vt. 确保，保证；给…保险 vi. 确保；投保,
838,intelligence,英:/ɪnˈtelɪdʒəns/ 美:/ɪnˈtelɪdʒəns/,"n. 智力, 智慧; 理解力 情报, 消息 情报人员",
839,intelligent,英:/ɪnˈtelɪdʒənt/ 美:/ɪnˈtelɪdʒənt/,adj. 聪明的; 理解力强的,
840,intend,英:/ɪnˈtend/ 美:/ɪnˈtend/,vt. 打算；意指；想要 vi. 有打算,
841,intention,英:/ɪnˈtenʃn/ 美:/ɪnˈtenʃn/,"n. 意图, 意向; 目的; 打算",
842,interest,英:/ˈɪntrəst/ 美:/ˈɪntrəst/,n. 兴趣，爱好；利息；趣味；同行 vt. 使……感兴趣；引起……的关心；使……参与,
843,interesting,英:/'ɪnt(ə)rɪstɪŋ/ 美:/'ɪntrəstɪŋ/,adj. 有趣的；引人入胜的,
844,international,英:/ˌɪntəˈnæʃnəl/ 美:/ˌɪntərˈnæʃnəl/,"adj. 国际的, 国际间进行的",
845,interrupt,英:/ˌɪntəˈrʌpt/ 美:/ˌɪntəˈrʌpt/,vt. & vi. 打断,
846,into,英:/'ɪntʊ/ 美:/'ɪntə/,prep. 到…里；深入…之中；成为…状况；进入到…之内,
847,introduce,英:/ˌɪntrəˈdjuːs/ 美:/ˌɪntrəˈduːs/,vt. 介绍；引进；采用；提出；提倡；放入,
848,introduction,英:/ˌɪntrəˈdʌkʃn/ 美:/ˌɪntrəˈdʌkʃn/,n. 介绍；引进；序言；导论,
849,invent,英:/ɪnˈvent/ 美:/ɪnˈvent/,vt. 发明；创造；虚构,
850,invitation,英:/ˌɪnvɪˈteɪʃn/ 美:/ˌɪnvɪˈteɪʃn/,n. 邀请；邀请函；招待；招致，引诱,
851,invite,英:/ɪn'vaɪt/ 美:/'ɪnvaɪt/,vt. 邀请，招待；招致 n. 邀请,
852,involve,英:/ɪnˈvɒlv/ 美:/ɪnˈvɑːlv/,vt. 包含；牵涉；使陷于；潜心于,
853,inward,英:/ˈɪnwəd/ 美:/ˈɪnwərd/,adj. 向内的；内部的；精神的；本质上的；[古]熟悉的 adv. 向内；内心里,
854,iron,英:/ˈaɪən/ 美:/ˈaɪərn/,"n. 铁 熨斗 镣铐 坚强, 刚强; 冷酷 vt. & vi. 熨平",
855,island,英:/'aɪlənd/ 美:/'aɪlənd/,n. 岛；岛屿；安全岛；岛状物 adj. 岛的,
856,it,英:/ɪt/ 美:/ɪt/,pron. 它,
857,its,英:/ɪts/ 美:/ɪts/,pron. 它的,
858,jacket,英:/'dʒækɪt/ 美:/'dʒækɪt/,n. 夹克；短上衣 vt. 给...穿夹克；给...装护套,
859,jaw,英:/dʒɔː/ 美:/dʒɔː/,n. 颌；下巴；狭窄入口；唠叨 vi. 教训；唠叨,
860,jewel,英:/ˈdʒuːəl/ 美:/ˈdʒuːəl/,n. 宝石；珠宝 vt. 镶以宝石；饰以珠宝,
861,jewelery,,n. 珠宝饰物，珠宝,
862,job,英:/dʒɒb/ 美:/dʒɑːb/,n. 工作；职业 vt. 代客买卖；承包,
863,join,英:/dʒɒɪn/ 美:/dʒɔɪn/,vt. 参加；连接；结合 vi. 参加；加入；结合,
864,joint,英:/dʒɔɪnt/ 美:/dʒɔɪnt/,n. 关节；接合处，接合点；接缝；（牛，羊等的腿）大块肉 adj. 联合的，合办的；共同的；连接的,
865,joke,英:/dʒəʊk/ 美:/dʒok/,n. 玩笑，笑话；笑柄 vt. 开…的玩笑,
866,journey,英:/'dʒɜːnɪ/ 美:/'dʒɝni/,n. 旅行；行程 vi. 旅行,
867,judgment,英:/ˈdʒʌdʒmənt/ 美:/ˈdʒʌdʒmənt/,n. 判断；裁判；判决书；辨别力,
868,judge,英:/dʒʌdʒ/ 美:/dʒʌdʒ/,vt. 判断；审判 n. 法官；裁判员,
869,juice,英:/dʒuːs/ 美:/dʒus/,n. 果汁；（水果）汁，液,
870,jump,英:/dʒʌmp/ 美:/dʒʌmp/,n. 跳跃；暴涨；惊跳 vt. 突升；使跳跃；跳跃；跳过,
871,just,英:/dʒʌst/ 美:/dʒʌst/,adv. 正好，恰好；只是，仅仅；刚才，刚刚；实在；刚要 adj. 公正的，合理的；应得的；正直的，正义的；公平的；正确的,
872,justice,英:/ˈdʒʌstɪs/ 美:/ˈdʒʌstɪs/,n. 正义；司法，法律制裁；法官，审判员,
873,keen,英:/kiːn/ 美:/kiːn/,adj. 敏锐的，敏捷的；热心的；锐利的；渴望的；强烈的 n. 痛哭，挽歌,
874,keep,英:/kiːp/ 美:/kip/,vt. 保持；遵守；经营；饲养 vi. 继续不断；保持,
875,key,英:/kiː/ 美:/kiː/,n. 钥匙；关键；（打字机等的）键 vt. 键入；调节…的音调；锁上；提供线索,
876,kick,英:/kɪk/ 美:/kɪk/,vt. 踢；反冲，朝后座 n. 踢；反冲，后座力,
877,kill,英:/kɪl/ 美:/kɪl/,vt. 杀死；扼杀；使终止；抵消 vi. 杀死,
878,kilo,英:/'kiːləʊ/ 美:/'kilo/,n. 千克；公里（等于kilogram）,
879,kilogram,/'kɪləɡræm/,n. 公斤；千克,
880,kilometer,"英:/ˈkiləˌmi:tə/ 美:/'kɪlə,mitɚ/",n. =kilometre 公里；千米(略作km),
881,kind,英:/kaɪnd/ 美:/kaɪnd/,n. 种类；性质 adj. 和蔼的；宽容的；令人感激的,
882,king,英:/kɪŋ/ 美:/kɪŋ/,n. 国王；最有势力者；王棋 vi. 统治；做国王,
883,kiss,英:/kɪs/ 美:/kɪs/,vt. 吻；（风等）轻拂 vi. 接吻；（风等）轻触,
884,kitchen,英:/'kɪtʃɪn/ 美:/'kɪtʃɪn/,n. 炊具；厨房；炊事人员,
885,knee,英:/niː/ 美:/niː/,n. 膝盖，膝 vt. 用膝盖碰,
886,kneel,英:/niːl/ 美:/niːl/,vi. 跪下，跪,
887,knife,英:/naɪf/ 美:/naɪf/,n. 刀；匕首 vt. 用刀切；（口）伤害,
888,knock,英:/nɒk/ 美:/nɑk/,vi. 敲；敲击；打 vt. 敲；敲击；打；批评,
889,knot,英:/nɒt/ 美:/nɑːt/,n. （绳等的）结；海里/小时（航速单位）；节瘤，疙瘩 vt. 打结,
890,know,英:/nəʊ/ 美:/no/,vt. 知道；认识；懂得 vi. 了解；熟悉；确信,
891,knowledge,英:/ˈnɒlɪdʒ/ 美:/ˈnɑːlɪdʒ/,"n. 了解, 理解 个人的知识[学识, 见闻] 学问",
892,lack,英:/læk/ 美:/læk/,vt. 缺乏；没有；需要；不足 vi. 缺乏；不足；没有,
893,lake,英:/leɪk/ 美:/lek/,n. 湖；湖泊 n. 深红色；[化]色淀,
894,lamb,英:/læm/ 美:/læm/,n. 羔羊，小羊；羔羊肉 vt. 生小羊，产羔羊,
895,lamp,英:/læmp/ 美:/læmp/,n. 灯；照射器 vt. 照亮,
896,land,英:/lænd/ 美:/lænd/,n. 陆地；地面；国土 v.（使）着陆，降落，靠岸；使陷于（困境）；成功得到，赢得,
897,language,英:/ˈlæŋɡwidʒ/ 美:/'læŋɡwɪdʒ/,n. 语言；语言文字；表达能力,
898,large,英:/lɑːdʒ/ 美:/lɑːrdʒ/,adj. 大的；广博的；多数的 adv. 夸大地；大大地,
899,last,英:/lɑːst/ 美:/læst/,n. 末尾，最后；上个；鞋楦（做鞋的模型） adj. 最后的；最近的，最新的；最不可能…的；仅剩的,
900,late,英:/leɪt/ 美:/leɪt/,adj. 迟的；晚的；已故的；最近的 adv. 晚；迟；在晚期；最近,
